feature,mean_abs_shap
C13,0.30201759000533085
TransactionAmt,0.2665487221977043
P_emaildomain,0.24203607919706302
card1,0.2365612540755291
C14,0.2171794094212004
TransactionDT,0.1918720389279415
card2,0.19149216804841204
V70,0.18489014813562799
D15,0.17226307411791916
card6,0.16380635477872502
