iter	Logloss
0	0.6461873139
1	0.6090006996
2	0.5770321959
3	0.5546895255
4	0.5351698556
5	0.520879078
6	0.5078975105
7	0.4973184037
8	0.4881393614
9	0.4815772067
10	0.4754417881
11	0.470157043
12	0.4644575444
13	0.4601095551
14	0.4560838221
15	0.4528132197
16	0.4495504581
17	0.4457237007
18	0.4436372709
19	0.4405605211
20	0.4376212567
21	0.4347745527
22	0.4324537482
23	0.430948018
24	0.4292671952
25	0.426754516
26	0.4228344164
27	0.4210403367
28	0.4185680783
29	0.4169887946
30	0.4159474856
31	0.4139600449
32	0.412332258
33	0.4107477554
34	0.4100940141
35	0.4086694448
36	0.4075033308
37	0.405857481
38	0.4039216846
39	0.4023584258
40	0.4008007729
41	0.3996127375
42	0.3984186561
43	0.3970560718
44	0.3952120143
45	0.3945863915
46	0.3939261189
47	0.3927821075
48	0.3917011364
49	0.3910861302
50	0.389101562
51	0.3878556808
52	0.3871578021
53	0.3866031973
54	0.3856523084
55	0.3839286889
56	0.3830421124
57	0.3826206836
58	0.3810172896
59	0.3801557111
60	0.3792909757
61	0.3783550203
62	0.3778757613
63	0.3768633933
64	0.3759152101
65	0.3750587639
66	0.3733075133
67	0.3727347144
68	0.3722608682
69	0.371522417
70	0.3712617429
71	0.3704966736
72	0.369937595
73	0.3691592692
74	0.3688873189
75	0.3676166113
76	0.3667362839
77	0.3661922871
78	0.3655869022
79	0.3645759526
80	0.3641974661
81	0.3633844269
82	0.363031237
83	0.3623088936
84	0.3620459671
85	0.3616337115
86	0.360919457
87	0.3605619062
88	0.3593516087
89	0.3585868929
90	0.3576508156
91	0.357026885
92	0.3562236275
93	0.3558791594
94	0.3555964961
95	0.354981084
96	0.3543173775
97	0.353950926
98	0.3518707646
99	0.3513532683
100	0.3507893967
101	0.3505165062
102	0.3499726893
103	0.3494712163
104	0.3491312963
105	0.3487800022
106	0.3480397433
107	0.3474597336
108	0.3470724131
109	0.3462533232
110	0.3458999133
111	0.3452852159
112	0.3450809399
113	0.3448988827
114	0.3445043421
115	0.3439438252
116	0.3435195468
117	0.3426718227
118	0.342359591
119	0.3419988263
120	0.3417718576
121	0.3414446382
122	0.3406855839
123	0.3393860599
124	0.3386373829
125	0.3376629058
126	0.3370325442
127	0.3367098474
128	0.3360435198
129	0.3355242913
130	0.3351511943
131	0.3344194126
132	0.3339289824
133	0.3330828033
134	0.3325277857
135	0.331655394
136	0.3313434457
137	0.3305862016
138	0.3298380048
139	0.3281161397
140	0.3274845781
141	0.3268501775
142	0.3264943093
143	0.3253435794
144	0.3245461273
145	0.3241766989
146	0.3224494264
147	0.3213292451
148	0.3203349935
149	0.3193166051
150	0.3183100255
151	0.3173570632
152	0.3169227976
153	0.3162789584
154	0.3157269756
155	0.314658153
156	0.3140195944
157	0.3134787909
158	0.3124414044
159	0.3117210742
160	0.3110186255
161	0.3101645119
162	0.3093096686
163	0.3082294695
164	0.3076635402
165	0.3073342209
166	0.3068080126
167	0.3062753776
168	0.3056508277
169	0.3047840667
170	0.304460967
171	0.3039757691
172	0.3034298338
173	0.3029442888
174	0.3023333054
175	0.301779323
176	0.3010862001
177	0.3005962297
178	0.2992158182
179	0.2984829346
180	0.2981115109
181	0.2975383948
182	0.2971469144
183	0.2963695778
184	0.296038165
185	0.2955944005
186	0.2949441848
187	0.2941284347
188	0.2936324712
189	0.2926589679
190	0.2921791792
191	0.2915168248
192	0.2910373572
193	0.2901192459
194	0.2895718842
195	0.2891624215
196	0.2887833891
197	0.2883591985
198	0.287855739
199	0.2873318947
200	0.2870446219
201	0.2865617235
202	0.2858337779
203	0.2855157035
204	0.2852406388
205	0.2847826283
206	0.2843161928
207	0.2840290766
208	0.2836637927
209	0.2832182799
210	0.2824698143
211	0.281996741
212	0.2814639092
213	0.2806458002
214	0.2800975031
215	0.2797172185
216	0.2792333703
217	0.2788141029
218	0.2782286632
219	0.2776366444
220	0.2770698097
221	0.2764971676
222	0.2761358463
223	0.2755081597
224	0.2751440136
225	0.274573245
226	0.2738573676
227	0.2732687739
228	0.2729561523
229	0.2723986527
230	0.2719358377
231	0.2714408801
232	0.2707690906
233	0.2705057212
234	0.2700324975
235	0.2696552828
236	0.2693441465
237	0.2690260705
238	0.2685927502
239	0.2681190418
240	0.2676751001
241	0.2671495152
242	0.2667700422
243	0.2664636219
244	0.2661354701
245	0.2651720685
246	0.2642824547
247	0.2638308713
248	0.2632973236
249	0.2629530092
250	0.2625118694
251	0.2624240883
252	0.2618253937
253	0.2613873917
254	0.2611170199
255	0.2606358215
256	0.2604052018
257	0.259937183
258	0.2594907336
259	0.2590863742
260	0.25843146
261	0.258028425
262	0.2578135236
263	0.2572945836
264	0.2570111686
265	0.2565181704
266	0.2557543811
267	0.2552951715
268	0.2550869269
269	0.2548438114
270	0.2544113728
271	0.2542262694
272	0.2539746806
273	0.2537589038
274	0.2536493523
275	0.25312335
276	0.2528593547
277	0.2526174756
278	0.2521025902
279	0.2515559296
280	0.2510556311
281	0.2507818954
282	0.2504958035
283	0.250043871
284	0.249746572
285	0.2494379884
286	0.2491424538
287	0.24879314
288	0.2483664009
289	0.248052291
290	0.2477276023
291	0.2471686132
292	0.2465228571
293	0.2461883757
294	0.2461011969
295	0.2456999971
296	0.245017996
297	0.2446278401
298	0.2441947934
299	0.2438923526
300	0.2435047553
301	0.2432799613
302	0.242949758
303	0.2425358928
304	0.2420120385
305	0.2417061913
306	0.2413033665
307	0.2410475225
