iter	Logloss
308	0.2407693559
309	0.2404250823
310	0.2401881496
311	0.239766277
312	0.2393645527
313	0.2388540377
314	0.238518617
315	0.2381736086
316	0.2380933758
317	0.2378072764
318	0.2376098639
319	0.2373638691
320	0.2370909555
321	0.2366980661
322	0.2363643585
323	0.2360351111
324	0.2357525355
325	0.2353552244
326	0.2349827805
327	0.2343157261
328	0.2340061268
329	0.2338421052
330	0.2334834518
331	0.2332441208
332	0.2331010843
333	0.232715093
334	0.232418791
335	0.2320488824
336	0.2318086616
337	0.2315825845
338	0.2312586634
339	0.2307853002
340	0.2306380682
341	0.2304577232
342	0.2302768821
343	0.2300051271
344	0.2296935516
345	0.2294323124
346	0.2293256581
347	0.2289783127
348	0.2287253943
349	0.2284295878
350	0.228117641
351	0.2278545789
352	0.227639606
353	0.2272836645
354	0.2270121636
355	0.2266660284
356	0.2264288085
357	0.226024618
358	0.2256461369
359	0.2253010153
360	0.2251613871
361	0.2248955949
362	0.2247163139
363	0.2245059741
364	0.2242419976
365	0.2240471311
366	0.2237008522
367	0.2234395155
368	0.2230367301
369	0.2227633968
370	0.2224683189
371	0.2222588345
372	0.2219823104
373	0.221699352
374	0.2216108714
375	0.2213304304
376	0.2211362187
377	0.2210169412
378	0.2208024673
379	0.2205550854
380	0.2203613553
381	0.2201803685
382	0.2198637352
383	0.2194868301
384	0.2191511543
385	0.2186613006
386	0.2181372929
387	0.2178998615
388	0.2175662218
389	0.2173413995
390	0.2171771332
391	0.2168593741
392	0.2166224747
393	0.2164623729
394	0.216219166
395	0.2159468187
396	0.2156988654
397	0.2154608076
398	0.2151891742
399	0.2149207341
